ID,AGE,BodyMassIndex,Education,Profession,AnnualIncome,InsuranceAwareness
1,1,3,4,9,3,1
2,3,1,7,3,1,10
3,1,4,6,5,6,6
4,2,2,7,9,5,4
5,4,2,2,6,1,7
6,4,4,5,7,5,8
7,1,3,5,4,4,3
8,3,1,2,9,5,8
9,2,5,2,2,4,7
10,5,5,4,9,2,4
11,1,2,6,7,1,8
12,5,5,2,10,4,9
13,2,5,7,3,2,10
14,2,1,4,10,1,2
15,3,4,5,2,3,9
16,1,4,1,6,6,8
17,3,2,5,3,1,2
18,5,4,1,8,4,5
19,1,1,5,6,3,4
20,2,1,2,3,3,1
21,3,3,1,2,6,2
22,3,1,2,1,4,8
23,4,3,7,9,5,6
24,2,5,5,3,2,6
25,2,5,3,10,6,8
26,1,5,1,1,2,6
27,2,1,5,7,3,9
28,3,2,3,10,5,7
29,4,1,7,10,4,2
30,1,4,5,3,1,2
31,5,1,6,7,6,6
32,5,5,3,7,2,4
33,3,1,1,7,5,9
34,4,2,5,4,1,9
35,4,5,4,3,6,7
36,1,4,2,7,6,4
37,5,2,7,10,1,2
38,3,1,6,7,6,2
39,5,2,5,2,2,5
40,3,3,4,3,2,8
41,5,2,7,10,6,4
42,3,1,7,9,1,4
43,4,3,4,9,3,9
44,4,3,3,7,6,8
45,3,5,1,7,1,9
46,5,4,6,9,1,8
47,2,1,6,9,2,5
48,1,4,5,6,1,7
49,4,3,6,7,6,2
50,2,4,7,4,6,7
51,2,2,3,3,1,9
52,5,4,6,4,4,9
53,2,3,4,10,6,1
54,4,1,6,3,2,5
55,3,5,2,8,5,6
56,1,3,4,5,1,5
57,1,2,4,7,5,8
58,4,3,3,2,3,1
59,4,4,7,1,2,5
60,5,1,3,6,3,3
61,4,5,4,8,4,7
62,1,1,3,6,4,6
63,4,4,5,9,6,5
64,3,3,6,4,2,4
65,1,1,1,7,4,3
66,3,5,5,8,3,10
67,3,2,3,5,4,2
68,1,2,2,9,4,8
69,3,4,7,5,4,9
70,2,1,1,10,6,10
71,5,1,6,7,5,10
72,4,2,1,1,6,1
73,5,1,7,7,5,5
74,5,5,3,3,5,3
75,2,5,2,9,5,7
76,3,2,3,1,2,8
77,3,1,2,7,4,8
78,4,2,4,6,2,6
79,4,2,1,3,3,3
80,2,5,6,5,2,4
81,2,1,1,2,2,3
82,4,4,1,8,5,8
83,1,4,3,1,6,5
84,3,3,6,10,5,7
85,3,1,3,3,3,5
86,1,3,4,8,2,9
